name,auc,accuracy,precision,f1_score,recall,log_loss
gradientboosting,0.9398815548321798,0.8669154228855721,0.9301848049281314,0.8943731490621915,0.8612167300380228,0.3507085494500806
adaboost,0.9091247914216156,0.8258706467661692,0.9054621848739496,0.8602794411177644,0.8193916349809885,0.672255622049622
xgboost,0.944713050852094,0.8731343283582089,0.9362139917695473,0.8992094861660079,0.8650190114068441,0.28812218214946583
rf,0.9509874989742046,0.8781094527363185,0.9421487603305785,0.902970297029703,0.8669201520912547,0.2632169165597558
mnb,0.8867727111086795,0.822139303482587,0.904862579281184,0.8568568568568569,0.8136882129277566,0.44990817028832175
gnb,0.8913751128374867,0.8296019900497512,0.9094736842105263,0.8631368631368631,0.8212927756653993,0.42732925253597626
bnb,0.8501860108871078,0.7835820895522388,0.8893805309734514,0.8220858895705521,0.7642585551330798,0.4412019180364308
dt,0.9241014032880159,0.8706467661691543,0.9288617886178862,0.8978388998035364,0.8688212927756654,1.1066304515516292
